id,P,R,F1,correct,len,avg_edit_dist,avg_norm_edit_dist,Time
FF-phone-2-long,1.0,1.0,1.0,50,50,0.0,0.0,20.609867095947266
FF-reverse-name-short,1.0,1.0,1.0,2,3,0.3333333333333333,0.022222222222222223,3.1483638286590576
FF-univ-3-long,0.8,0.8,0.8000000000000002,5,10,5.3,0.2508441558441558,10.634385585784912
FF-phone-1,1.0,1.0,1.0,3,3,0.0,0.0,1.2374200820922852
FF-name-combine-2,1.0,1.0,1.0,0,2,2.0,0.2222222222222222,0.5484795570373535
FF-phone-8,1.0,1.0,1.0,4,4,0.0,0.0,1.6479415893554688
FF-phone-6,1.0,1.0,1.0,4,4,0.0,0.0,1.8683674335479736
FF-phone-7,1.0,1.0,1.0,4,4,0.0,0.0,1.652958631515503
FF-phone-9,1.0,1.0,1.0,3,4,0.75,0.05357142857142857,4.151435613632202
FF-phone-5-long-repeat,0.6,0.6,0.6,25,50,0.5,0.17666666666666664,18.251407146453857
FF-firstname-long-repeat,1.0,1.0,1.0,13,27,2.185185185185185,0.21607538551982997,18.595561027526855
